model,test_set,activity_type,records,rouge1_f1,rouge2_f1,bertscore_f1,normalized_exact_match,two_distinct_alternatives_rate,automatic_structured_consistency_rate
LFM2-700M,GPTPlus,COMPLETION,150,0.37608412692847326,0.2613405553258329,0.7951752688487371,0.0,0.6666666666666666,0.9733333333333334
LFM2-700M,GPTPlus,GENERATION,200,0.20965703672655647,0.08391978388117778,0.8061998476088047,0.0,0.72,0.975
LFM2-700M,GPTPlus,NORMALIZATION,150,0.3926385102395604,0.2485259991680745,0.7986048628886541,0.02,0.8666666666666667,0.9133333333333333
LFM2-700M,Claude,COMPLETION,150,0.2664468428091032,0.10876570235927936,0.794484547773997,0.0,0.6866666666666666,0.9733333333333334
LFM2-700M,Claude,GENERATION,200,0.1454404565655487,0.05694411574498265,0.7811609327793121,0.0,0.69,0.965
LFM2-700M,Claude,NORMALIZATION,150,0.25945803934605094,0.10288171068487235,0.8183007287979126,0.0,0.92,0.9133333333333333
LFM2-700M_GPTPlus-DS,GPTPlus,COMPLETION,150,0.5784821126571863,0.4545802111831524,0.8262002712488175,0.043333333333333335,0.7866666666666666,0.9266666666666666
LFM2-700M_GPTPlus-DS,GPTPlus,GENERATION,200,0.3520936321676025,0.2025537985208117,0.8642495535314083,0.0,0.94,0.72
LFM2-700M_GPTPlus-DS,GPTPlus,NORMALIZATION,150,0.9523136623724859,0.9141463721463722,0.9845355574289958,0.7566666666666667,0.9866666666666667,0.9066666666666666
LFM2-700M_GPTPlus-DS,Claude,COMPLETION,150,0.37474002169115794,0.16007457012974255,0.856935615738233,0.0033333333333333335,0.8266666666666667,0.8866666666666667
LFM2-700M_GPTPlus-DS,Claude,GENERATION,200,0.22293822474506458,0.11138878693769998,0.8504946954548359,0.0,0.88,0.68
LFM2-700M_GPTPlus-DS,Claude,NORMALIZATION,150,0.5677517996279606,0.2954517905841435,0.8692056904236476,0.06333333333333334,0.94,0.8866666666666667
LFM2-700M_Claude-DS,GPTPlus,COMPLETION,150,0.5626198628226492,0.38714824352089044,0.8886648454268773,0.016666666666666666,0.9466666666666667,0.9666666666666667
LFM2-700M_Claude-DS,GPTPlus,GENERATION,200,0.3054257144144767,0.13083923911998974,0.8357710182666779,0.0,0.915,0.95
LFM2-700M_Claude-DS,GPTPlus,NORMALIZATION,150,0.5920471657971659,0.3862768451591981,0.8993288491169612,0.06333333333333334,0.9933333333333333,0.9866666666666667
LFM2-700M_Claude-DS,Claude,COMPLETION,150,0.5551351635407363,0.301414811767753,0.8998250929514567,0.09666666666666666,0.8933333333333333,1.0
LFM2-700M_Claude-DS,Claude,GENERATION,200,0.4063396491764613,0.20067201488645456,0.8435188136994839,0.0225,0.89,0.935
LFM2-700M_Claude-DS,Claude,NORMALIZATION,150,0.6974422560010796,0.5093919968919969,0.9176357531547547,0.21,0.96,1.0
