model,test_set,activity_type,records,rouge1_f1,rouge2_f1,bertscore_f1,normalized_exact_match,two_distinct_alternatives_rate,automatic_structured_consistency_rate
LFM2-700M,GPTPlus,COMPLETION,150,0.3200057599684435,0.14313894607217498,0.855632177790006,0.0,0.9933333333333333,0.8266666666666667
LFM2-700M,GPTPlus,GENERATION,200,0.09297679898905985,0.030256135560815342,0.8353021270036698,0.0,0.995,0.98
LFM2-700M,GPTPlus,NORMALIZATION,150,0.34051921722542455,0.1725322279183839,0.8639320399363836,0.0033333333333333335,1.0,0.98
LFM2-700M,Claude,COMPLETION,150,0.15021802342459803,0.0596852151350337,0.8244686583677928,0.0,0.9666666666666667,0.96
LFM2-700M,Claude,GENERATION,200,0.0820881406048974,0.02545796802039828,0.8360161209106445,0.0,0.995,0.975
LFM2-700M,Claude,NORMALIZATION,150,0.2184698902551655,0.0844799696864289,0.8488158692916234,0.0,1.0,0.96
LFM2-700M_GPTPlus-DS,GPTPlus,COMPLETION,150,0.9988888888888889,0.9979999999999999,0.9996235366662344,0.9966666666666667,1.0,1.0
LFM2-700M_GPTPlus-DS,GPTPlus,GENERATION,200,0.5992720722689763,0.4140552148015383,0.9106035222113132,0.03,1.0,1.0
LFM2-700M_GPTPlus-DS,GPTPlus,NORMALIZATION,150,0.9998039215686274,0.9993333333333334,0.9998737452427546,0.99,1.0,0.9333333333333333
LFM2-700M_GPTPlus-DS,Claude,COMPLETION,150,0.4871584374231433,0.24665253265253265,0.8882619627316792,0.04,1.0,0.9933333333333333
LFM2-700M_GPTPlus-DS,Claude,GENERATION,200,0.39535932503598914,0.19611249126690303,0.8796080331504345,0.0175,1.0,0.995
LFM2-700M_GPTPlus-DS,Claude,NORMALIZATION,150,0.6800468768704062,0.36650746638981935,0.9040584840377172,0.07,0.9866666666666667,1.0
LFM2-700M_Claude-DS,GPTPlus,COMPLETION,150,0.587476785827405,0.40981998176115825,0.9079112950960795,0.12,0.9733333333333334,1.0
LFM2-700M_Claude-DS,GPTPlus,GENERATION,200,0.3846235672007731,0.163922736985237,0.8723138245940208,0.0,0.985,1.0
LFM2-700M_Claude-DS,GPTPlus,NORMALIZATION,150,0.5962699609758433,0.41602641802641804,0.9027594898144404,0.04666666666666667,1.0,1.0
LFM2-700M_Claude-DS,Claude,COMPLETION,150,0.7243244533244534,0.5746972101972102,0.9422263803084692,0.4033333333333333,0.9933333333333333,1.0
LFM2-700M_Claude-DS,Claude,GENERATION,200,0.572299068986569,0.3402800532800533,0.9093055365979672,0.065,0.985,1.0
LFM2-700M_Claude-DS,Claude,NORMALIZATION,150,0.8231670002111179,0.6784448884448885,0.953349256515503,0.36,0.9933333333333333,1.0
