model,test_set,activity_type,records,rouge1_f1,rouge2_f1,bertscore_f1,normalized_exact_match,two_distinct_alternatives_rate,automatic_structured_consistency_rate
LFM2-700M,GPTPlus,COMPLETION,150,0.3260550478417565,0.14543238480482368,0.8369702857732773,0.0,0.9533333333333334,0.84
LFM2-700M,GPTPlus,GENERATION,200,0.0839646688286548,0.027854985976710597,0.4229045021533966,0.0,0.415,0.285
LFM2-700M,GPTPlus,NORMALIZATION,150,0.483984060594924,0.2463621965765383,0.8847462077935536,0.0033333333333333335,0.9666666666666667,0.98
LFM2-700M,Claude,COMPLETION,150,0.1506980912861773,0.056271201560029405,0.8108271557092667,0.0,0.9333333333333333,0.9533333333333334
LFM2-700M,Claude,GENERATION,200,0.056825890043055244,0.017766619376184175,0.45177110478281973,0.0,0.45,0.29
LFM2-700M,Claude,NORMALIZATION,150,0.24032176270063707,0.09075920615219113,0.8326697009801864,0.0,0.9533333333333334,0.96
LFM2-700M_GPTPlus-DS,GPTPlus,COMPLETION,150,0.9988888888888889,0.9979999999999999,0.9996235370635986,0.9966666666666667,1.0,1.0
LFM2-700M_GPTPlus-DS,GPTPlus,GENERATION,200,0.5992720722689763,0.4140552148015383,0.9106035234034061,0.03,1.0,1.0
LFM2-700M_GPTPlus-DS,GPTPlus,NORMALIZATION,150,0.9998039215686274,0.9993333333333334,0.9998737452427546,0.99,1.0,0.9933333333333333
LFM2-700M_GPTPlus-DS,Claude,COMPLETION,150,0.4871584374231433,0.24665253265253265,0.8882619673013687,0.04,1.0,1.0
LFM2-700M_GPTPlus-DS,Claude,GENERATION,200,0.39535932503598914,0.19611249126690303,0.8796080304682254,0.0175,1.0,1.0
LFM2-700M_GPTPlus-DS,Claude,NORMALIZATION,150,0.6800468768704062,0.36650746638981935,0.9040584876139959,0.07,0.9866666666666667,1.0
LFM2-700M_Claude-DS,GPTPlus,COMPLETION,150,0.587476785827405,0.40981998176115825,0.9079112929105758,0.12,0.9733333333333334,1.0
LFM2-700M_Claude-DS,GPTPlus,GENERATION,200,0.3846235672007731,0.163922736985237,0.8723138274252414,0.0,0.985,1.0
LFM2-700M_Claude-DS,GPTPlus,NORMALIZATION,150,0.5962699609758433,0.41602641802641804,0.9027594864368439,0.04666666666666667,1.0,1.0
LFM2-700M_Claude-DS,Claude,COMPLETION,150,0.7243244533244534,0.5746972101972102,0.9422263807058334,0.4033333333333333,0.9933333333333333,1.0
LFM2-700M_Claude-DS,Claude,GENERATION,200,0.572299068986569,0.3402800532800533,0.9093055404722691,0.065,0.985,1.0
LFM2-700M_Claude-DS,Claude,NORMALIZATION,150,0.8231670002111179,0.6784448884448885,0.953349259297053,0.36,0.9933333333333333,1.0
